Feature,SHAP_Importance
population_density,0.6906483173370361
compensation_multiplier_demand,0.1215960755944252
forest_clearance_status,0.11017677187919617
H_r,0.09918560832738876
district,0.0
terrain_type,0.0
estimated_cost_inr_crore,0.0
land_area_hectares,0.0
project_start_year,0.0
project_id,0.0
state,0.0
project_type,0.0
local_protest_flag,0.0
title_dispute_rate_percent,0.0
affected_families_count,0.0
fund_disbursement_percent,0.0
sia_approval_status_risk_score,0.0
forest_clearance_status_risk_score,0.0
C_r,0.0
sia_approval_status,0.0
F_r,0.0
W_r,0.0
land_area_log,0.0
P_r,0.0
project_age_years,0.0
financial_density,0.0
financial_burn_rate_to_date,0.0
state_project_type,0.0
